Title,Slug,Deal Count,About,QA
FA Commercial,fa-commercial,51,"FA Commercial is a top commercial real estate brokerage in South Florida, specializing in the disposition, acquisition, and leasing of commercial properties within Miami's top districts. The company offers advanced transactional services for real estate developers, landlords, institutional investors, and tenants, with a track record of over $1 billion in transactional volume across all asset types from 2013 to 2024.",TRUE
Bank Hapoalim (BHI),bank-hapoalim-bhi-,49,"Bank Hapoalim International (BHI) is the U.S division of Bank Hapoalim, Israel's leading financial institution. It provides commercial banking solutions to middle market clients in various sectors including commercial real estate, general and domestic C&I, private equity, food and beverage, apparel, healthcare, corporate banking, and high-tech. BHI operates U.S. Representative Offices in New York, Woodcliff Lake, New Jersey, Miami, Florida, and Los Angeles, California. The bank specializes in financing opportunities for prudent and accomplished developers, focusing on sectors with strong underlying secular trends.",TRUE
Galaxy Capital,galaxy-capital,46,"Galaxy Capital is a private equity debt solution and advisory firm specializing in the entire real estate capital cycle, including acquisition, bridge, construction, refinance, recapitalization, private, and preferred equity. The company provides flexible solutions that are efficient and economical for transaction cycles, delivering the full capital stack with certainty of execution to meet short and long-term goals.",TRUE
Realty Executives,realty-executives-,46,"Realty Executives is a real estate company that specializes in both residential and commercial properties. The company offers a range of services including property listings, market analysis, and expert advice from experienced real estate agents. Realty Executives has a global presence with local offices and agents who are equipped to handle various types of real estate transactions. The company emphasizes education and expertise, providing comprehensive support throughout the buying or selling process.",TRUE
Convoy Capital,convoy-capital,45,"Convoy Capital is a commercial loan advisory firm specializing in helping clients and lenders achieve their financing goals. The company provides customized loan solutions for multifamily, commercial, and net leased properties. It leverages key relationships with lender institutions to offer the best loan programs for clients' needs. The firm offers a streamlined loan application process and reliable closings through its dedicated Concierge team of financial guides.",TRUE
Fortune Capital Group,fortune-capital-group,44,"Fortune Capital Group is a CRE Debt Advisory Firm with experience in all asset classes including multifamily, retail, industrial, office, and special-use properties. Founded by Jake Gluck, the firm has been involved in over $3B in transactions over the 5 years since inception. The company emphasizes full transparency with lenders and clients, hard work, and dedication to ensure deal closure. They have relationships with top-tier CMBS, Agency, and local bank lenders across the country.",TRUE
Mann Capital Advisors,mann-capital-advisors,43,"Mann Capital Advisors is a commercial real estate advisory firm with a transaction volume of $268 Million across 43 deals. The company is led by Abe Mann, who has a proven track record in real estate transactions.",FALSE
Oxford Partners,oxford-partners,39,"Oxford Partners is a commercial real estate company established in 1997, specializing in tenant representation for office and industrial users. The firm provides brokerage services, including commercial leasing, property purchase or sale, and strategy development. They assist clients with renewing leases, relocating, expanding, and managing multiple locations. Oxford Partners is based in Houston, TX, and has been serving clients for over 20 years.",TRUE
SP Capital Group,sp-capital-group,38,"SP Capital Group LLC is a real estate investment sales advisory firm based in New York, New York. The company provides services related to commercial real estate transactions and is located at 226 W 37th St, Suite 601, New York, NY 10018. It has 15 employees and has not received any funding rounds.",TRUE
MSP Group,msp-group,38,"MSP Group is a commercial real estate company founded in 2015 with the mission of being the most trusted name in South Florida commercial real estate. The company is committed to integrity, service, and results. It was founded by Deme Mekras, who has extensive experience in the multifamily arena, having closed nearly 12,000 units and $1 billion in transactions. The team includes Sam Mekras, a senior investment associate with over 10 years of experience and nearly $600 million in transaction experience. MSP Group emphasizes quality over quantity and provides best-in-class service, expert analysis, and robust access to the market. The company has closed significant deals in South Florida, including apartments and retail properties.",TRUE
Filler Capital,filler-capital,37,"Filler Capital is a boutique partner for commercial real estate and multifamily financing. It specializes in various loan executions including Bridge, Construction, CMBS, Agency, Balance Sheet, CLO, Mezz, and preferred Equity structures. The company prioritizes client relationships and aims to make the financing process smooth while securing the best terms for its clients.",TRUE
Brown Commercial Group,brown-commercial-group,36,"Brown Commercial Group is a boutique, full-service commercial real estate firm specializing in the marketing, disposition, and acquisition of industrial, office, and investment-grade real estate in the Chicago metropolitan area. The firm offers comprehensive property sale and leasing services, buyer and tenant representation, lease renewal and renegotiation, and investment solutions. With over 150 years of combined experience, Brown Commercial Group has built long-lasting relationships with established buyers, tenants, and investors, leveraging its market knowledge and established relationships to secure favorable results for clients.",TRUE
Baseline Real Estate Advisors,baseline-real-estate-advisors,33,"Baseline Real Estate Advisors is a licensed New York-based, client-first, commercial real estate brokerage specializing in investment sales. The company prioritizes honesty, transparency, and integrity, making the sales process straightforward and smooth for clients. Founded by Michael Sherman, who has completed over $400 million in transactions during his decade-long experience in the industry. His work has been featured in publications such as The New York Times, The Real Deal, Commercial Observer, and Crain's. Mr. Sherman graduated with a BA in economics from Bates College and has a background in coaching at a premier tennis academy in Spain.",TRUE
Landair Property Advisors,landair-property-advisors,33,"Landair Property Advisors is a commercial real estate brokerage specializing in complex transactions, particularly in development sites. The company is based in New York City and utilizes its knowledge of NYC zoning laws, financial, construction, and market data to evaluate and market development sites. The team includes partners and senior associates with extensive experience in real estate transactions, including sourcing and closing significant deals. Landair Property Advisors is known for its strategic marketing, client-focused approach, and dedication to ensuring smooth and efficient transactions.",TRUE
Baldwin Pearson & Co,baldwin-pearson-co,33,"Baldwin Pearson & Company, Inc. is a family-owned commercial real estate firm located in Bridgeport, CT. The company has been in operation for over 70 years and provides services including commercial real estate sales, appraisals, and leasing. They serve the Greater Fairfield area and have an extensive database of local and national buyers.",TRUE
Base Realty Group,base-realty-group,31,"{'name': 'BASE Realty Group', 'location': 'New York', 'founders': ['Jonathan Brody', 'Michael Schattner'], 'services': ['Real Estate Advisory', 'Transaction Management', 'Client Strategy and Consulting', 'Equity and Debt Management', '1031 Exchange Expertise'], 'focus': ['Multifamily', 'Industrial', 'Development Investment Sales'], 'experience': ['Over 15 years of real estate sales and investment experience', ""Jonathan Brody: $2 billion in multifamily transactions, former president of Rosewood Realty Group's National Investment Sales division"", 'Michael Schattner: $800 million in transaction volume, former vice president of investment sales at Rosewood Realty Group'], 'mission': ['Provide informed valuations and pricing recommendations', ""Develop customized strategies tailored to clients' specific needs"", 'Build lasting relationships with clients']}",FALSE
We Lend,we-lend,30,"We Lend LLC is a private real estate lending company that offers fast, flexible loans with quick closings and no upfront fees. The company provides tailored solutions for bridge, DSCR, and rental property loans. It operates nationwide, with a focus on origination growth, investor security, and capital preservation. We Lend is known for its broker-friendly services, low starting rates, and a flexible acceptance process. The company aims to simplify the real estate lending process, making it accessible to both first-time and experienced borrowers.",TRUE
Bank of Montreal (BOM),bank-of-montreal-bom,30,"Bank of Montreal (BMO) is a Canadian multinational bank and financial services company. It is one of the largest banks in Canada and has significant exposure to the US commercial real estate market. BMO provides a range of financial services including commercial real estate banking, treasury management, and investment banking products. The bank is headquartered in Montreal, Quebec, and has a major presence in the Midwest through its US operations. BMO is known for its commitment to delivering insights and services tailored to the needs of various real estate clients, from middle market development firms to REITs and private equity funds. The bank has been actively involved in major real estate projects, such as the construction of BMO Tower in Chicago, which serves as its US headquarters.",TRUE
Weber Frank Real Estate,weber-frank-real-estate,30,,FALSE
The Brokerage South Florida Real Estate,the-brokerage-south-florida-real-estate,30,"The Brokerage South Florida Real Estate, LLC. is a real estate office based in North Miami, FL. It has 23 active property listings and 40 sold property listings. The office is located at 9431 Harding Ave, Surfside, FL 33154, and its main phone number is (786) 509-6846.",FALSE
Artemis Realty Advisors,artemis-realty-advisors,29,"Artemis Realty Advisors is a commercial real estate company that offers an integrated approach to real estate. Their team of 'Designer Agents' has a background in design and construction, providing a global approach to finding, building, or marketing properties. They integrate digital search and purchasing processes to help clients visualize the steps required to reach their goals. The company is known for its expert negotiating skills and ability to guide clients through the clutter of the market, helping them envision possibilities and achieve the best return on investment.",TRUE
CORFAC International,corfac-international,29,"CORFAC International is a global network of privately held entrepreneurial commercial real estate firms. Founded in 1989, it offers services in office, industrial, and retail brokerage, tenant and landlord representation, investment sales, multifamily, self-storage, acquisitions and dispositions, property management, and corporate services. The network has 70 offices in the U.S., Canada, and international markets, including Australia, Costa Rica, France, Germany, India, Ireland, Italy, Japan, Netherlands, Philippines, Poland, Romania, Russia, South Korea, Switzerland, and the United Kingdom. CORFAC International has completed over 10,000 lease and sales transactions totaling approximately 400 million square feet of space valued in excess of $7.4 billion as of 2014.",TRUE
Unknown Correspondent life insurance company,unknown-correspondent-life-insurance-company,27,"An unknown correspondent life insurance company is typically a commercial mortgage company that has the exclusive right to make commercial loans in a given region for a particular life company. They handle site inspections, collect payments, and handle any foreclosures on behalf of the life insurance company. The correspondent does not have a publicly available website and is often hired by life insurance companies to service their loans locally. They are known for offering competitive interest rates and terms, particularly for large commercial permanent loans secured by properties such as multifamily, office, retail, or industrial buildings located in primary locations.",TRUE
Matheos Realty Group,matheos-realty-group,26,"Matheos Realty Group is a commercial real estate services and advisory company located in New York City. The company specializes in the sales of properties such as multi-family, mixed-use, industrial, retail, and development across the New York market. They provide complimentary property evaluations, strategic market insights, and over 20 years of experience to ensure a seamless and successful sales process. The team focuses on multifamily and mixed-use properties, with a sharp focus on development projects. They offer exclusive representation to property owners, leasing services, and mortgage lending assistance. The company is led by Peter Matheos, a visionary leader with over 14 years of experience in commercial real estate, and supported by experienced professionals like Jessica, who brings a wealth of experience in both commercial and residential sectors.",TRUE
The CREM Group,the-crem-group,25,"The CREM Group is a real estate brokerage specializing in probate and trust real estate services in California, particularly in Los Angeles and Orange Counties. The company offers expert assistance in managing and selling probate properties, including handling evictions, legal issues, and interim property management. They also provide commercial real estate services, including sales, acquisitions, market research, financial modeling, and transaction due diligence. The team is led by Mark Cianciulli, a licensed attorney and real estate broker with extensive experience in maximizing the value of real estate sales while limiting liability.",TRUE
The 2-4 Unit Specialists,the-2-4-unit-specialists,25,"The 2-4 Unit Specialists is a real estate brokerage that specializes in the sale and lease of duplexes, triplexes, and fourplexes.",FALSE
Real Broker,real-broker,25,"Real Broker is a publicly traded real estate brokerage company that aims to revolutionize the residential real estate industry. It offers AI-driven, cloud-based technology for an effortless end-to-end experience. The company provides generous commission splits, low caps, and no monthly fees. It supports agents with programs focused on healthcare, retirement, and more. Real Broker is licensed in multiple U.S. states and operates as a virtual company, allowing agents to work from anywhere.",TRUE
Savills Studley,savills-studley,25,"Savills Studley is a commercial real estate advisory firm specializing in tenant representation. It was founded in 1954 by Julien J. Studley and was acquired by Savills in 2014. The company offers a wide range of services including tenant representation, project management, and transaction advisory. After the acquisition, the company was rebranded as Savills Studley and later changed its name to Savills in 2019. The firm operates globally with a significant presence in North America and provides comprehensive real estate solutions to clients worldwide.",TRUE
RePropCo,repropco,25,"RePropCo is a commercial real estate company based in the New York Metro area, led by Brian Whitmer as the President-Elect. The company is involved in various commercial real estate activities and is part of the CCIM New York Metro leadership staff.",TRUE
Unknown life insurance company,unknown-life-insurance-company,25,"Life insurance companies invest in commercial real estate by offering long-term, fixed-rate loans with competitive interest rates. These loans typically have non-recourse terms, with loan sizes starting at $1 million and going up to $2 million or more. The loan terms can range from 10 to 30 years, with amortization periods up to 25 years. The maximum LTV (Loan-to-Value) ratio is usually between 65% and 75%, and the minimum DSCR (Debt Service Coverage Ratio) is typically 1.25x. Prepayment premiums may apply, and the loans are often assumable. Life insurance companies focus on high-quality properties, such as apartment, industrial, retail, and office buildings, and may also consider hospitality properties under certain circumstances.",TRUE
Landstone Capital Group,landstone-capital-group,25,"Landstone Capital Group is a full-service mortgage company specializing in commercial and residential loans. The company is based in Brooklyn, New York, and is known for its personalized approach to loan structuring. Landstone Capital Group emphasizes human involvement in the loan process, ensuring that each loan is tailored to the client's specific needs. The team at Landstone Capital Group includes experienced professionals like Leah, who personally reviews every matter before it goes to the bank, and Heshy, who is responsible for the underwriting and placement of loans across various property types. The company's focus on client satisfaction and long-term success has earned it a reputation for handling complex deals effectively.",TRUE
Brix Real Estate Advisors,brix-real-estate-advisors,25,"Brix Real Estate Advisors is a commercial real estate company committed to providing a full spectrum of services. The company is known for its proficient market analysis and financial modeling, with an established network of industry contacts and potential clients. It operates primarily in the Bronxville, NY area, offering services such as real estate listing and advisory services. The company is dedicated to helping clients achieve success in the commercial real estate market.",TRUE
@Properties Christie's International Real Estate,properties-christies-international-real-estate,24,"Christie's International Real Estate, part of @properties, represents the pinnacle of luxury and the industry standard for service and professionalism around the world. Through its ownership, clients enjoy national and international exposure, additional marketing in high-end print and digital media, and access to a Luxury Defined blog featuring extraordinary properties and market trends.",TRUE
Fennelly Associates,fennelly-associates,24,"Fennelly Associates is a specialized commercial real estate firm based in Hamilton, New Jersey, founded in 1986. The company provides a range of services including tenant representation, marketing, property management, valuation and advisory, and property disposition. They offer expertise in handling complex deals across various property types, serving clients locally, regionally, and nationally. The company is known for its strategic and data-driven approach, innovative use of real estate technologies, and commitment to delivering value for its clients through integrity, honesty, respect, impeccable customer service, and teamwork.",TRUE
Stav Equities LLC,stav-equities-llc,24,Stav Equities LLC specializes in advising high net-worth individuals and 1031 exchange clients in the acquisition and disposition of investment properties.,TRUE
Affinius Capital,affinius-capital-,23,"Affinius Capital is an integrated institutional real estate investment firm with a 40-year track record. It emerged from the integration of USAA Real Estate and Square Mile Capital. The company manages a diverse portfolio of real assets across North America and Europe, providing equity and debt capital to its clients. Affinius Capital is known for its mission-driven purpose, core values of integrity, service, and innovation, and its commitment to long-term societal and environmental implications in its investment stewardship.",TRUE
Stormfield Capital,stormfield-capital,23,"Stormfield Capital is an institutional private credit manager with deep expertise in lower middle-market commercial real estate bridge lending. Through their technology-enabled funding platform, they specialize in originating and acquiring short-term senior loans secured by commercial and residential investment properties. They emphasize building long-term partnerships by providing creative and flexible capital solutions. Their culture values teamwork, open communication, and dedication, which they believe sets them apart.",TRUE
Polaris Property Group,polaris-property-group,22,"Polaris Realty is a commercial real estate company known for its high-quality properties and attentive property management services. It operates in Vancouver, Toronto, Mississauga, and Montreal, offering services as an owner, developer, and manager. Polaris Realty aims to exceed tenants' expectations with on-site service and a long-term focus.",TRUE
Fortune Realty,fortune-realty,22,"Fortune Realty, LLC is a commercial real estate company specializing in Sales, Leasing, Client Representation, Site Selection, Build-to-Suit, Development, and Property Management. The company is located in Lexington, Kentucky, with $2 million in revenue and 5 employees[1][2].",TRUE
M&T Bank,mt-bank-2,21,"M&T Bank is a commercial real estate lender offering a range of services including construction, permanent, government-assisted, and secondary market mortgage financing. The company provides customized solutions for unique real estate needs through its dedicated institutional commercial real estate services. M&T Realty Capital Corporation, a wholly-owned subsidiary, specializes in providing competitive financing nationwide for commercial properties, including multifamily and seniors housing. The bank has significant exposure to commercial real estate, with a portfolio valued at approximately $45.1 billion as of the first quarter of 2023. M&T Bank is a Fannie Mae DUS lender, a Freddie Mac Optigo lender, and an approved FHA/HUD MAP and LEAN lender, with numerous life company relationships.",TRUE
Avenues Real Estate,avenues-real-estate,21,"Avenues Real Estate is a full service real estate brokerage specializing in New York City apartment rentals, condo & coop sales, short term rentals, and no fee apartment rentals. The company was formed in 2020 by merging over fifty years of real estate experience. It offers a range of services including apartment rentals, condo/Co-op sales, landlord/tenant representation, property management, commercial leasing, and investment sales.",TRUE
The Inside Netwok,the-inside-netwok,21,The Inside Network values its clients by cultivating enduring connections with them throughout their real estate journey.,TRUE
BEB Capital,beb-capital,21,"BEB Capital is a real estate development and investment firm with a portfolio of industrial, office, and multifamily properties across the Northeastern U.S. The firm has interests in a diverse set of businesses, some of which it owns and operates, and others in which it serves as a limited partner. BEB Capital’s institutional-grade operation and entrepreneurial spirit have allowed the firm to create value by completing several million square feet of value-add industrial acquisitions, multifamily conversions, and redevelopments. The company leverages extensive experience in real estate investment, including in-house asset and property management, risk control, and investor relations. BEB Capital partners with institutions and investors driven to improve the community and create significant value.",TRUE
Rudder Property Group,rudder-property-group,20,"Rudder Property Group is a commercial real estate services firm specializing exclusively in the sale of office condominiums in the New York metropolitan area. With 20 years of experience, the company has sold over two million square feet of office condominiums with a dollar value in excess of $1 billion. The firm is led by Principal Michael Rudder, who has been involved in the acquisition, conversion, marketing, and sales of numerous high-profile office condominiums. Rudder Property Group provides institutional-quality marketing campaigns and sales processes, ensuring optimal pricing and deal terms for sellers, purchasers, investors, and developers.",TRUE
Apollo Global Management,apollo-global-management-,20,"Apollo Global Management is a leading alternative asset management company that primarily invests in credit, private equity, and real assets. Founded in 1990 by Leon Black, Josh Harris, and Marc Rowan, the company manages $548 billion in assets as of 2022. It operates in various sectors including natural resources, chemicals, consumer and retail, manufacturing and industrial, business services, financial services, leisure, consumer services, media, telecom, and technology. Apollo Global Management provides innovative capital solutions to build and finance stronger businesses and offers retirement income solutions through its subsidiary Athene. The company is headquartered in New York City and has offices across North America, Europe, and Asia.",TRUE
Verada,verada,20,"Verada is a commercial real estate company founded in 2021 by Nathaniel Mallon and Brendan Thrapp. The company leverages AI technology, carefully vetted listings, and engaging content-based marketing to connect landlords and tenants. Verada provides comprehensive services including strategy and market analysis, site selection, deal negotiation, and execution. The company focuses on building partnerships between tenants and retail owners to ensure ongoing growth in New York City communities. Verada has been recognized for its innovative approach, winning the REBNY 'Most Ingenious Deal of the Year' Award and the CoStar Power Broker Top Broker of the Year award.",FALSE
5 Boro Realty,5-boro-realty,19,"5 Boro Realty is a real estate brokerage based in Brooklyn, New York. The company operates at 2153 Utica Ave, Brooklyn, NY 11234, and can be contacted at (855) 305-3325. They are open Monday through Thursday from 9am to 9pm, Friday from 9am to 5pm, and by appointment on Sundays. The company provides residential, commercial, short sales, and business sales services.",TRUE
Dream Town Real Estate,dream-town-real-estate,19,"Dream Town Real Estate is a Chicago-based real estate company founded in 1998. It has grown to become one of the premier firms in the Chicagoland area, with nearly 450 brokers and six offices. The company is known for its innovative search-engine technology, savvy use of social media, and a people-first boutique approach. It emphasizes personalized, attentive service and has a reputation for impressive sales numbers. Dream Town Realty continues to evolve and thrive in Chicago's changing real estate market through the creativity, dedication, and vision of its team.",TRUE
Kaufman Organization,kaufman-organization,19,"The Kaufman Organization is a three-generation, family-owned and operated commercial real estate company based in New York City. Established in 1909, the company specializes in the ownership of commercial and residential properties, office leasing, management, and acquisitions. With a portfolio of approximately 6 million square feet, Kaufman Organization provides full-service brokerage services, third-party property management, acquisition advisory, and asset management services to institutional clients. The company has a strong team of professionals and has worked with top corporations such as Gap, DKNY, Citi, and Kohl’s. Kaufman Organization continues to seek out value-add commercial real estate opportunities in New York City through strategic acquisitions and repositioning strategies.",TRUE
Twelve Stones Realty,twelve-stones-realty,19,"Twelve Stones Realty is a real estate agency based in Far Rockaway, NY, specializing in residential properties. The agency is led by Shaya Rosenberg and Yaakov Pliner, both licensed real estate brokers. They offer a variety of listings including two-family homes, bungalows, and triplexes in the Far Rockaway and Arverne areas.",TRUE
Bolour Associates,bolour-associates,19,"Bolour Associates is a privately-held real estate investment, development, and finance company. Founded by the Bolour family, the company began its international expansion in Europe in 1950. By the 1980s, it was established in Southern California, focusing on value-add commercial real estate investments in emerging neighborhoods such as Hollywood, Downtown Los Angeles, and Koreatown. Today, Bolour Associates operates as a fully integrated investment, development, and finance enterprise, leveraging generations of relationships, collective intelligence, and an enduring vision to drive its endeavors. The company is headquartered in Beverly Hills and has expanded its operations to include 20 states, with plans to triple its private lending business and double its employee count by 2020. Bolour Associates invests in value-add assets in emerging and transit-oriented neighborhoods, with recent projects including a San Diego adaptive reuse project and entitlements for a 61-unit East Hollywood apartment project.",TRUE
Rodriguez Commercial Realty,rodriguez-commercial-realty,18,"Rodriguez Commercial Realty is a real estate company with over a decade of experience, offering clients unique insights and unparalleled knowledge in the commercial real estate market. The company provides various resources, including a mortgage calculator, 1031 exchange calculator, news and talks, closed transactions, and a weekly market report. It is headquartered at 495 Flatbush Avenue, Brooklyn, NY 11225, and can be contacted at (718) 953-4000.",TRUE
Bravo & Partners Realty,bravo-partners-realty,18,"Bravo & Partners is a commercial real estate company specializing in advanced deal sourcing, underwriting, and deep property performance analytics to drive effective, return-based decisions. The company has achieved over $100 million in sales for 2021, led by Neyda Bravo, who has a background in business administration and extensive experience in commercial real estate, including participation in real estate seminars for ICSC and NMHC.",TRUE
